title,author,length
We Hunt Monsters 8,Aaron Oster,Duración: 13 h y 22 m
An Unfinished Love Story,Doris Kearns Goodwin,Duración: 17 h y 38 m
The Kingdom of Quail,Harris Strickland,Duración: 9 h y 34 m
The Coldest Case: The Past Has a Long Memory,"James Patterson,Aaron Tracy,Ryan Silbert",Duración: 3 h y 41 m
Heal Thyself for Health and Longevity,Queen Afua,Duración: 8 h y 17 m
Lovely Violent Things,Trisha Wolfe,Duración: 8 h y 2 m
Fairy Tale,Stephen King,Duración: 24 h y 6 m
The Inmate,Freida McFadden,Duración: 8 h y 5 m
The Stand,Stephen King,Duración: 47 h y 47 m
El rock nos hará libres [Rock Will Set Us Free],"Alejandro Llantada Toscano,Rebecca Melgar",Duración: 2 h y 45 m
The Reckoning,"Caroline Peckham,Susanne Valenti",Duración: 17 h y 40 m
The Subtle Art of Not Giving a F*ck,Mark Manson,Duración: 5 h y 17 m
Confessions of the Heart,A.L. Jackson,Duración: 33 h y 55 m
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Duración: 20 h y 5 m
The Wise Man's Fear,Patrick Rothfuss,Duración: 42 h y 55 m
Unfu*k Yourself,Gary John Bishop,Duración: 3 h y 24 m
The Women,Kristin Hannah,Duración: 14 h y 57 m
Hello Beautiful,Ann Napolitano,Duración: 15 h y 6 m
Brutally His,"Zoe Blake,Alta Hensley",Duración: 10 h y 8 m
Elon Musk,Walter Isaacson,Duración: 20 h y 39 m
Wildest Dreams,Kristen Proby,Duración: 9 h y 13 m
Primal Pursuit,Bella J,Duración: 12 h y 29 m
Simple Marketing for Smart People,"Billy Broas,Tiago Forte,Ali Abdaal",Duración: 3 h y 51 m
Hábitos atómicos (Español neutro),James Clear,Duración: 9 h y 1 m
La no tan ordinaria vida de Tabatha [The Not So Ordinary Life of Tabatha],Martha Lila Álvarez,Duración: 6 h y 6 m
Part of Your World,Abby Jimenez,Duración: 10 h y 5 m
The Cliffs: Reese's Book Club,J. Courtney Sullivan,Duración: 15 h y 25 m
On the Defensive,Kerry J. Donovan,Duración: 9 h y 45 m
"Chrysalis, Books 1-3",RinoZ,Duración: 54 h y 41 m
The Power of Now,Eckhart Tolle,Duración: 7 h y 37 m
Emperor's End,Kyle Kirrin,Duración: 16 h y 18 m
The Four Agreements,don Miguel Ruiz,Duración: 2 h y 31 m
The Legend of Randidly Ghosthound 7,"Noret Flood,puddles4263",Duración: 27 h y 53 m
It Didn't Start with You,Mark Wolynn,Duración: 8 h y 16 m
North of Denton,C.J. Petit,Duración: 9 h y 20 m
Learning to Love Yourself,Gay Hendricks PhD,Duración: 3 h y 23 m
Suiting Up,Lykanthropy,Duración: 14 h y 19 m
A Discovery of Witches,Deborah Harkness,Duración: 23 h y 59 m
Twisted Love,Ana Huang,Duración: 10 h y 41 m
Defiler's Curse,HDA Roberts,Duración: 20 h y 38 m
Cut to the Chase,Jasmine Webb,Duración: 6 h y 2 m
A Death in Cornwall,Daniel Silva,Duración: 9 h y 24 m
Savor Taipei,Skyline Explorer,Duración: 1 h y 20 m
The Return of the King,J. R. R. Tolkien,Duración: 21 h y 52 m
Meditations,Marcus Aurelius,Duración: 3 h y 51 m
The Ballad of Smallhope and Pennyroyal,Jodi Taylor,Duración: 10 h
The Terminal List,Jack Carr,Duración: 12 h y 3 m
Nuclear War,Annie Jacobsen,Duración: 11 h y 19 m
The Sovranos Box Set,L. Steele,Duración: 95 h y 12 m
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Duración: 11 h y 38 m
